Song,Artist,Country,Year,Language,Grand Final Place,Grand Final Points,Semifinal,Semifinal Place,Semifinal Points
Boonika bate doba,Zdob și Zdub,Moldova,2005,Romanian,6.0,148.0,,2.0,207.0
Tout de moi,Lise Darly,Monaco,2005,French,,0.0,,24.0,22.0
My Impossible Dream,Glennis Grace,Netherlands,2005,English,,0.0,,14.0,53.0
Make My Day,Martin Vučić,North Macedonia,2005,English,17.0,52.0,,9.0,97.0
In My Dreams,Wig Wam,Norway,2005,English,9.0,125.0,,6.0,164.0
Czarna dziewczyna,Ivan & Delfin,Poland,2005,Polish,,0.0,,11.0,81.0
Czarna dziewczyna,Ivan & Delfin,Poland,2005,Russian,,0.0,,11.0,81.0
Amar,2B,Portugal,2005,Portuguese,,0.0,,17.0,51.0
Amar,2B,Portugal,2005,English,,0.0,,17.0,51.0
Let Me Try,Luminița Anghel & Sistem,Romania,2005,English,3.0,158.0,,1.0,235.0
Nobody Hurt No One,Natalia Podolskaya,Russia,2005,English,15.0,57.0,,,
Zauvijek moja (Заувијек моја),No Name,Serbia and Montenegro,2005,Montenegrin,7.0,137.0,,,
Stop,Omar Naber,Slovenia,2005,Slovene,,0.0,,12.0,69.0
Brujería,Son de Sol,Spain,2005,Spanish,21.0,28.0,,,
Las Vegas,Martin Stenmarck,Sweden,2005,English,19.0,30.0,,,
Cool Vibes,Vanilla Ninja,Switzerland,2005,English,8.0,128.0,,8.0,114.0
Rimi Rimi Ley,Gülseren,Turkey,2005,Turkish,13.0,92.0,,,
Razom nas bahato (Разом нас багато),GreenJolly,Ukraine,2005,Ukrainian,19.0,30.0,,,
Razom nas bahato (Разом нас багато),GreenJolly,Ukraine,2005,English,19.0,30.0,,,
Touch My Fire,Javine,United Kingdom,2005,English,22.0,18.0,,,
Zjarr e ftohtë,Luiz Ejlli,Albania,2006,Albanian,,0.0,,14.0,58.0
Sense tu,Jenny,Andorra,2006,Catalan,,0.0,,23.0,8.0
Without Your Love,André,Armenia,2006,English,8.0,129.0,,6.0,150.0
Mum,Polina Smolova,Belarus,2006,English,,0.0,,22.0,10.0
Je t'adore,Kate Ryan,Belgium,2006,English,,0.0,,12.0,69.0
Lejla,Hari Mata Hari,Bosnia and Herzegovina,2006,Bosnian,3.0,229.0,,2.0,267.0
Let Me Cry,Mariana Popova,Bulgaria,2006,English,,0.0,,17.0,36.0
Moja štikla,Severina,Croatia,2006,Croatian,12.0,56.0,,,
Why Angels Cry,Annet Artani,Cyprus,2006,English,,0.0,,15.0,57.0
Twist of Love,Sidsel Ben Semmane,Denmark,2006,English,18.0,26.0,,,
Through My Window,Sandra Oxenryd,Estonia,2006,English,,0.0,,18.0,28.0
Hard Rock Hallelujah,Lordi,Finland,2006,English,1.0,292.0,1.0,1.0,292.0
Il était temps,Virginie Pouchain,France,2006,French,22.0,5.0,,,
No No Never,Texas Lightning,Germany,2006,English,14.0,36.0,,,
Everything,Anna Vissi,Greece,2006,English,9.0,128.0,,,
Congratulations,Silvia Night,Iceland,2006,English,,0.0,,13.0,62.0
Every Song Is a Cry for Love,Brian Kennedy,Ireland,2006,English,10.0,93.0,,9.0,79.0
Together We Are One,Eddie Butler,Israel,2006,Hebrew,23.0,4.0,,,
Together We Are One,Eddie Butler,Israel,2006,English,23.0,4.0,,,
I Hear Your Heart,Vocal Group Cosmos,Latvia,2006,English,16.0,30.0,,,
We Are the Winners,LT United,Lithuania,2006,English,6.0,162.0,,5.0,163.0
I Do,Fabrizio Faniello,Malta,2006,English,24.0,1.0,,,
Loca,Arsenium feat. Natalia Gordienko,Moldova,2006,English,20.0,22.0,,,
La Coco-Dance,Séverine Ferrer,Monaco,2006,French,,0.0,,21.0,14.0
La Coco-Dance,Séverine Ferrer,Monaco,2006,Tahitian,,0.0,,21.0,14.0
Amambanda,Treble,Netherlands,2006,English,,0.0,,20.0,22.0
Amambanda,Treble,Netherlands,2006,Imaginary,,0.0,,20.0,22.0
Ninanajna (Нинанајна),Elena Risteska,North Macedonia,2006,English,12.0,56.0,,10.0,76.0
Ninanajna (Нинанајна),Elena Risteska,North Macedonia,2006,Macedonian,12.0,56.0,,10.0,76.0
Alvedansen,Christine Guldbrandsen,Norway,2006,Norwegian,14.0,36.0,,,
Follow My Heart,Ich Troje feat. Real McCoy,Poland,2006,English,,0.0,,11.0,70.0
Follow My Heart,Ich Troje feat. Real McCoy,Poland,2006,Polish,,0.0,,11.0,70.0
Follow My Heart,Ich Troje feat. Real McCoy,Poland,2006,German,,0.0,,11.0,70.0
Follow My Heart,Ich Troje feat. Real McCoy,Poland,2006,Russian,,0.0,,11.0,70.0
Coisas de nada,Nonstop,Portugal,2006,Portuguese,,0.0,,19.0,26.0
Coisas de nada,Nonstop,Portugal,2006,English,,0.0,,19.0,26.0
Tornerò,Mihai Trăistariu,Romania,2006,English,4.0,172.0,,,
Tornerò,Mihai Trăistariu,Romania,2006,Italian,4.0,172.0,,,
Never Let You Go,Dima Bilan,Russia,2006,English,2.0,248.0,,3.0,217.0
Mr Nobody,Anžej Dežan,Slovenia,2006,English,,0.0,,16.0,49.0
Un Blodymary,Las Ketchup,Spain,2006,Spanish,21.0,18.0,,,
Invincible,Carola,Sweden,2006,English,5.0,170.0,,4.0,214.0
If We All Give a Little,six4one,Switzerland,2006,English,16.0,30.0,,,
Süper Star,Sibel Tüzün,Turkey,2006,Turkish,11.0,91.0,,8.0,91.0
Süper Star,Sibel Tüzün,Turkey,2006,English,11.0,91.0,,8.0,91.0
Show Me Your Love,Tina Karol,Ukraine,2006,English,7.0,145.0,,7.0,146.0
Teenage Life,Daz Sampson,United Kingdom,2006,English,19.0,25.0,,,
Hear My Plea,Frederik Ndoci,Albania,2007,English,,0.0,,17.0,49.0
Hear My Plea,Frederik Ndoci,Albania,2007,Albanian,,0.0,,17.0,49.0
Salvem el món,Anonymous,Andorra,2007,Catalan,,0.0,,12.0,80.0
Salvem el món,Anonymous,Andorra,2007,English,,0.0,,12.0,80.0
Anytime You Need,Hayko,Armenia,2007,English,8.0,138.0,,,
Anytime You Need,Hayko,Armenia,2007,Armenian,8.0,138.0,,,
Get a Life – Get Alive,Eric Papilaya,Austria,2007,English,,0.0,,27.0,4.0
Work Your Magic,Dmitry Koldun,Belarus,2007,English,6.0,145.0,,4.0,176.0
Love Power,The KMG's,Belgium,2007,English,,0.0,,26.0,14.0
Rijeka bez imena (Ријека без имена),Marija Šestić,Bosnia and Herzegovina,2007,Serbian,11.0,106.0,,,
Water,Elitsa Todorova & Stoyan Yankoulov,Bulgaria,2007,Bulgarian,5.0,157.0,,6.0,146.0
Vjerujem u ljubav,Dragonfly feat. Dado Topić,Croatia,2007,Croatian,,0.0,,16.0,54.0
Vjerujem u ljubav,Dragonfly feat. Dado Topić,Croatia,2007,English,,0.0,,16.0,54.0
"Comme ci, comme ça",Evridiki,Cyprus,2007,French,,0.0,,15.0,65.0
Malá dáma,Kabát,Czech Republic,2007,Czech,,0.0,,28.0,1.0
Drama Queen,DQ,Denmark,2007,English,,0.0,,19.0,45.0
Partners in Crime,Gerli Padar,Estonia,2007,English,,0.0,,22.0,33.0
Leave Me Alone,Hanna Pakarinen,Finland,2007,English,17.0,53.0,,,
L'amour à la française,Les Fatals Picards,France,2007,French,22.0,19.0,,,
L'amour à la française,Les Fatals Picards,France,2007,"English (""Franglais"")",22.0,19.0,,,
Visionary Dream,Sopho Khalvashi,Georgia,2007,English,12.0,97.0,,8.0,123.0
Frauen regier'n die Welt,Roger Cicero,Germany,2007,German,19.0,49.0,,,
Frauen regier'n die Welt,Roger Cicero,Germany,2007,English,19.0,49.0,,,
Yassou Maria (Γεια σου Μαρία),Sarbel,Greece,2007,English,7.0,139.0,,,
Unsubstantial Blues,Magdi Rúzsa,Hungary,2007,English,9.0,128.0,,2.0,224.0
Valentine Lost,Eiríkur Hauksson,Iceland,2007,English,,0.0,,13.0,77.0
They Can't Stop the Spring,Dervish,Ireland,2007,English,24.0,5.0,,,
Push the Button,Teapacks,Israel,2007,English,,0.0,,24.0,17.0
Push the Button,Teapacks,Israel,2007,French,,0.0,,24.0,17.0
Push the Button,Teapacks,Israel,2007,Hebrew,,0.0,,24.0,17.0
Questa notte,Bonaparti.lv,Latvia,2007,Italian,16.0,54.0,,5.0,168.0
Love or Leave,4Fun,Lithuania,2007,English,21.0,28.0,,,
Vertigo,Olivia Lewis,Malta,2007,English,,0.0,,25.0,15.0
Fight,Natalia Barbu,Moldova,2007,English,10.0,109.0,,10.0,91.0
"Ajde, kroči ('Ајде, крочи)",Stevan Faddy,Montenegro,2007,Montenegrin,,0.0,,22.0,33.0
On Top of the World,Edsilia Rombley,Netherlands,2007,English,,0.0,,21.0,38.0
Mojot svet (Мојот свет),Karolina,North Macedonia,2007,Macedonian,14.0,73.0,,9.0,97.0
Mojot svet (Мојот свет),Karolina,North Macedonia,2007,English,14.0,73.0,,9.0,97.0
Ven a bailar conmigo,Guri Schanke,Norway,2007,English,,0.0,,18.0,48.0
Time to Party,The Jet Set,Poland,2007,English,,0.0,,14.0,75.0
Dança comigo,Sabrina,Portugal,2007,Portuguese,,0.0,,11.0,88.0
Dança comigo,Sabrina,Portugal,2007,English,,0.0,,11.0,88.0
"Liubi, Liubi, I Love You (Люби, Люби, I Love You)",Todomondo,Romania,2007,English,13.0,84.0,,,
"Liubi, Liubi, I Love You (Люби, Люби, I Love You)",Todomondo,Romania,2007,Italian,13.0,84.0,,,
"Liubi, Liubi, I Love You (Люби, Люби, I Love You)",Todomondo,Romania,2007,Spanish,13.0,84.0,,,
"Liubi, Liubi, I Love You (Люби, Люби, I Love You)",Todomondo,Romania,2007,Russian,13.0,84.0,,,
"Liubi, Liubi, I Love You (Люби, Люби, I Love You)",Todomondo,Romania,2007,French,13.0,84.0,,,
"Liubi, Liubi, I Love You (Люби, Люби, I Love You)",Todomondo,Romania,2007,Romanian,13.0,84.0,,,
Song #1,Serebro,Russia,2007,English,3.0,207.0,,,
Molitva (Молитва),Marija Šerifović,Serbia,2007,Serbian,1.0,268.0,,1.0,298.0
Cvet z juga,Alenka Gotar,Slovenia,2007,Slovene,15.0,66.0,,7.0,140.0
I Love You Mi Vida,D'NASH,Spain,2007,Spanish,20.0,43.0,,,
The Worrying Kind,The Ark,Sweden,2007,English,18.0,51.0,,,
Vampires Are Alive,DJ BoBo,Switzerland,2007,English,,0.0,,20.0,40.0
Shake It Up Şekerim,Kenan Doğulu,Turkey,2007,English,4.0,163.0,,9.0,197.0
Dancing Lasha Tumbai (Данцінґ Лаша Тумбай),Verka Serduchka,Ukraine,2007,German,2.0,235.0,,,
Dancing Lasha Tumbai (Данцінґ Лаша Тумбай),Verka Serduchka,Ukraine,2007,English,2.0,235.0,,,
Dancing Lasha Tumbai (Данцінґ Лаша Тумбай),Verka Serduchka,Ukraine,2007,Ukrainian,2.0,235.0,,,
Dancing Lasha Tumbai (Данцінґ Лаша Тумбай),Verka Serduchka,Ukraine,2007,Russian,2.0,235.0,,,
Flying the Flag (For You),Scooch,United Kingdom,2007,English,22.0,19.0,,,
Zemrën e lamë peng,Olta Boka,Albania,2008,Albanian,17.0,55.0,2.0,9.0,67.0
Casanova,Gisela,Andorra,2008,English,,0.0,1.0,16.0,22.0
Casanova,Gisela,Andorra,2008,Catalan,,0.0,1.0,16.0,22.0
"Qélé, Qélé (Քելե Քելե)",Sirusho,Armenia,2008,English,4.0,199.0,1.0,2.0,139.0
"Qélé, Qélé (Քելե Քելե)",Sirusho,Armenia,2008,Armenian,4.0,199.0,1.0,2.0,139.0
Day After Day,Elnur and Samir,Azerbaijan,2008,English,8.0,132.0,1.0,6.0,96.0
Hasta la Vista,Ruslan Alekhno,Belarus,2008,English,,0.0,2.0,17.0,27.0
O Julissi,Ishtar,Belgium,2008,Imaginary,,0.0,1.0,17.0,16.0
Pokušaj,Laka,Bosnia and Herzegovina,2008,Bosnian,10.0,110.0,1.0,9.0,72.0
"DJ, Take Me Away",Deep Zone and Balthazar,Bulgaria,2008,English,,0.0,2.0,11.0,56.0
Romanca,Kraljevi ulice and 75 Cents,Croatia,2008,Croatian,21.0,44.0,2.0,4.0,112.0
Femme Fatale,Evdokia Kadi,Cyprus,2008,Greek,,0.0,2.0,15.0,36.0
Have Some Fun,Tereza Kerndlová,Czech Republic,2008,English,,0.0,2.0,18.0,9.0
All Night Long,Simon Mathew,Denmark,2008,English,15.0,60.0,2.0,3.0,112.0
Leto svet,Kreisiraadio,Estonia,2008,Serbian,,0.0,1.0,18.0,8.0
Leto svet,Kreisiraadio,Estonia,2008,German,,0.0,1.0,18.0,8.0
Leto svet,Kreisiraadio,Estonia,2008,Finnish,,0.0,1.0,18.0,8.0
Missä miehet ratsastaa,Teräsbetoni,Finland,2008,Finnish,22.0,35.0,1.0,8.0,79.0
Divine,Sébastien Tellier,France,2008,English,19.0,47.0,,,
Divine,Sébastien Tellier,France,2008,French,19.0,47.0,,,
Peace Will Come,Diana Gurtskaya,Georgia,2008,English,11.0,83.0,2.0,5.0,107.0
Disappear,No Angels,Germany,2008,English,23.0,14.0,,,
Secret Combination,Kalomira,Greece,2008,English,3.0,218.0,1.0,1.0,156.0
Candlelight,Csézy,Hungary,2008,English,,0.0,2.0,19.0,6.0
Candlelight,Csézy,Hungary,2008,Hungarian,,0.0,2.0,19.0,6.0
This Is My Life,Euroband,Iceland,2008,English,14.0,64.0,2.0,8.0,68.0
Irelande Douze Pointe,Dustin the Turkey,Ireland,2008,English,,0.0,1.0,15.0,22.0
The Fire in Your Eyes,Boaz Ma'uda,Israel,2008,Hebrew,9.0,124.0,1.0,5.0,104.0
The Fire in Your Eyes,Boaz Ma'uda,Israel,2008,English,9.0,124.0,1.0,5.0,104.0
Wolves of the Sea,Pirates of the Sea,Latvia,2008,English,12.0,83.0,2.0,6.0,86.0
Nomads in the Night,Jeronimas Milius,Lithuania,2008,English,,0.0,2.0,16.0,30.0
Vodka,Morena,Malta,2008,English,,0.0,2.0,14.0,38.0
A Century of Love,Geta Burlacu,Moldova,2008,English,,0.0,1.0,12.0,36.0
Zauvijek volim te (Заувијек волим те),Stefan Filipović,Montenegro,2008,Montenegrin,,0.0,1.0,14.0,23.0
Your Heart Belongs to Me,Hind,Netherlands,2008,English,,0.0,1.0,13.0,27.0
Let Me Love You,"Tamara, Vrčak & Adrian",North Macedonia,2008,English,,0.0,2.0,10.0,64.0
Hold On Be Strong,Maria Haukaas Storeng,Norway,2008,English,5.0,182.0,1.0,4.0,106.0
For Life,Isis Gee,Poland,2008,English,24.0,14.0,1.0,10.0,42.0
Senhora do mar (Negras águas),Vânia Fernandes,Portugal,2008,Portuguese,13.0,69.0,2.0,2.0,120.0
Pe-o margine de lume,Nico and Vlad,Romania,2008,Romanian,20.0,45.0,1.0,7.0,94.0
Pe-o margine de lume,Nico and Vlad,Romania,2008,Italian,20.0,45.0,1.0,7.0,94.0
Believe,Dima Bilan,Russia,2008,English,1.0,272.0,1.0,3.0,135.0
Complice,Miodio,San Marino,2008,Italian,,0.0,1.0,19.0,5.0
Oro (Оро),Jelena Tomašević feat. Bora Dugić,Serbia,2008,Serbian,6.0,160.0,,,
Vrag naj vzame,Rebeka Dremelj,Slovenia,2008,Slovene,,0.0,1.0,11.0,36.0
Baila el Chiki-chiki,Rodolfo Chikilicuatre,Spain,2008,Spanish,16.0,55.0,,,
Baila el Chiki-chiki,Rodolfo Chikilicuatre,Spain,2008,English,16.0,55.0,,,
Hero,Charlotte Perrelli,Sweden,2008,English,18.0,47.0,2.0,12.0,54.0
Era stupendo,Paolo Meneguzzi,Switzerland,2008,Italian,,0.0,2.0,13.0,47.0
Deli,Mor ve Ötesi,Turkey,2008,Turkish,7.0,138.0,2.0,7.0,85.0
Shady Lady,Ani Lorak,Ukraine,2008,English,2.0,230.0,2.0,1.0,152.0
Even If,Andy Abraham,United Kingdom,2008,English,25.0,14.0,,,
Carry Me in Your Dreams,Kejsi Tola,Albania,2009,English,17.0,48.0,2.0,7.0,73.0
La teva decisió (Get a Life),Susanne Georgi,Andorra,2009,Catalan,,0.0,1.0,15.0,8.0
La teva decisió (Get a Life),Susanne Georgi,Andorra,2009,English,,0.0,1.0,15.0,8.0
Jan Jan (Ջան Ջան),Inga and Anush,Armenia,2009,English,10.0,92.0,1.0,5.0,99.0
Jan Jan (Ջան Ջան),Inga and Anush,Armenia,2009,Armenian,10.0,92.0,1.0,5.0,99.0
Always,AySel and Arash[73],Azerbaijan,2009,English,3.0,207.0,2.0,2.0,180.0
Eyes That Never Lie,Petr Elfimov,Belarus,2009,English,,0.0,1.0,13.0,25.0
Copycat,Copycat,Belgium,2009,English,,0.0,1.0,17.0,1.0
Bistra voda,Regina,Bosnia and Herzegovina,2009,Bosnian,9.0,106.0,1.0,3.0,125.0
Illusion,Krassimir Avramov,Bulgaria,2009,English,,0.0,1.0,16.0,7.0
Lijepa Tena,Igor Cukrov feat. Andrea,Croatia,2009,Croatian,18.0,45.0,2.0,13.0,33.0
Firefly,Christina Metaxa,Cyprus,2009,English,,0.0,2.0,14.0,32.0
Aven Romale,Gipsy.cz,Czech Republic,2009,English,,0.0,1.0,18.0,0.0
Aven Romale,Gipsy.cz,Czech Republic,2009,Romani,,0.0,1.0,18.0,0.0
Believe Again,Niels Brinck,Denmark,2009,English,13.0,74.0,2.0,8.0,69.0
Rändajad,Urban Symphony,Estonia,2009,Estonian,6.0,129.0,2.0,3.0,115.0
Lose Control,Waldo's People,Finland,2009,English,25.0,22.0,1.0,12.0,42.0
Et s'il fallait le faire,Patricia Kaas,France,2009,French,8.0,107.0,,,
Miss Kiss Kiss Bang,Alex Swings Oscar Sings![74],Germany,2009,English,20.0,35.0,,,
This Is Our Night,Sakis Rouvas,Greece,2009,English,7.0,120.0,2.0,4.0,110.0
Dance with Me,Zoli Ádok,Hungary,2009,English,,0.0,2.0,15.0,16.0
Is It True?,Yohanna,Iceland,2009,English,2.0,218.0,1.0,1.0,174.0
Et Cetera,Sinéad Mulvey and Black Daisy,Ireland,2009,English,,0.0,2.0,11.0,52.0
There Must Be Another Way,Noa and Mira Awad,Israel,2009,English,16.0,53.0,1.0,7.0,75.0
There Must Be Another Way,Noa and Mira Awad,Israel,2009,Hebrew,16.0,53.0,1.0,7.0,75.0
There Must Be Another Way,Noa and Mira Awad,Israel,2009,Arabic,16.0,53.0,1.0,7.0,75.0
Probka (Пробка),Intars Busulis,Latvia,2009,Russian,,0.0,2.0,19.0,7.0
Love,Sasha Son,Lithuania,2009,English,23.0,23.0,2.0,9.0,66.0
Love,Sasha Son,Lithuania,2009,Russian,23.0,23.0,2.0,9.0,66.0
What If We,Chiara,Malta,2009,English,22.0,31.0,1.0,6.0,86.0
Hora din Moldova,Nelly Ciobanu,Moldova,2009,Romanian,14.0,69.0,2.0,5.0,106.0
Hora din Moldova,Nelly Ciobanu,Moldova,2009,English,14.0,69.0,2.0,5.0,106.0
Just Get Out of My Life,Andrea Demirović,Montenegro,2009,English,,0.0,1.0,11.0,44.0
Shine,The Toppers,Netherlands,2009,English,,0.0,2.0,17.0,11.0
Nešto što kje ostane (Нешто што ќе остане),Next Time,North Macedonia,2009,Macedonian,,0.0,1.0,10.0,45.0
Fairytale,Alexander Rybak,Norway,2009,English,1.0,387.0,2.0,1.0,201.0
I Don't Wanna Leave,Lidia Kopania,Poland,2009,English,,0.0,2.0,12.0,43.0
Todas as ruas do amor,Flor-de-Lis,Portugal,2009,Portuguese,15.0,57.0,1.0,8.0,70.0
The Balkan Girls,Elena,Romania,2009,English,19.0,40.0,1.0,9.0,67.0
Mamo (Мамо),Anastasiya Prikhodko,Russia,2009,Russian,11.0,91.0,,,
Mamo (Мамо),Anastasiya Prikhodko,Russia,2009,Ukrainian,11.0,91.0,,,
Cipela (Ципела),Marko Kon and Milaan[72],Serbia,2009,Serbian,,0.0,2.0,10.0,60.0
Leť tmou,Kamil Mikulčík and Nela Pocisková,Slovakia,2009,Slovak,,0.0,2.0,18.0,8.0
Love Symphony,Quartissimo feat. Martina,Slovenia,2009,English,,0.0,2.0,16.0,14.0
Love Symphony,Quartissimo feat. Martina,Slovenia,2009,Slovene,,0.0,2.0,16.0,14.0
La noche es para mí,Soraya Arnelas,Spain,2009,Spanish,24.0,23.0,,,
La noche es para mí,Soraya Arnelas,Spain,2009,English,24.0,23.0,,,
La voix,Malena Ernman,Sweden,2009,French,21.0,33.0,1.0,4.0,105.0
La voix,Malena Ernman,Sweden,2009,English,21.0,33.0,1.0,4.0,105.0
The Highest Heights,Lovebugs,Switzerland,2009,English,,0.0,1.0,14.0,15.0
Düm Tek Tek,Hadise,Turkey,2009,English,4.0,177.0,1.0,2.0,172.0
Be My Valentine,Svetlana Loboda,Ukraine,2009,English,12.0,76.0,2.0,6.0,80.0
It's My Time,Jade Ewen,United Kingdom,2009,English,5.0,173.0,,,
It's All About You,Juliana Pasha,Albania,2010,English,16.0,62.0,1.0,6.0,76.0
Apricot Stone,Eva Rivas,Armenia,2010,English,7.0,141.0,2.0,6.0,83.0
Drip Drop,Safura,Azerbaijan,2010,English,5.0,145.0,2.0,2.0,113.0
Butterflies,3+2 feat Robert Wells,Belarus,2010,English,24.0,18.0,1.0,9.0,59.0
Me and My Guitar,Tom Dice,Belgium,2010,English,6.0,143.0,1.0,1.0,167.0
Thunder and Lightning,Vukašin Brajić,Bosnia and Herzegovina,2010,English,17.0,51.0,1.0,8.0,59.0
Angel si ti (Ангел си ти),Miro,Bulgaria,2010,Bulgarian,,0.0,2.0,15.0,19.0
Angel si ti (Ангел си ти),Miro,Bulgaria,2010,English,,0.0,2.0,15.0,19.0
Lako je sve,Feminnem,Croatia,2010,Croatian,,0.0,2.0,13.0,33.0
Life Looks Better in Spring,Jon Lilygreen and The Islanders,Cyprus,2010,English,21.0,27.0,2.0,10.0,67.0
In a Moment Like This,Chanée and N'evergreen,Denmark,2010,English,4.0,149.0,2.0,5.0,101.0
Siren,Malcolm Lincoln and Manpower 4,Estonia,2010,English,,0.0,1.0,14.0,39.0
Työlki ellää,Kuunkuiskaajat,Finland,2010,Finnish,,0.0,1.0,11.0,49.0
Allez Ola Olé,Jessy Matador,France,2010,French,12.0,82.0,,,
Shine,Sofia Nizharadze,Georgia,2010,English,9.0,136.0,2.0,3.0,106.0
Satellite,Lena,Germany,2010,English,1.0,246.0,,,
OPA (ΩΠΑ),Giorgos Alkaios and Friends,Greece,2010,Greek,8.0,140.0,1.0,2.0,133.0
Je ne sais quoi,Hera Björk,Iceland,2010,English,19.0,41.0,1.0,3.0,123.0
It's for You,Niamh Kavanagh,Ireland,2010,English,23.0,25.0,2.0,9.0,67.0
Milim (מילים),Harel Skaat,Israel,2010,Hebrew,14.0,71.0,2.0,8.0,71.0
What For?,Aisha,Latvia,2010,English,,0.0,1.0,17.0,11.0
Eastern European Funk,InCulto,Lithuania,2010,English,,0.0,2.0,12.0,44.0
My Dream,Thea Garrett,Malta,2010,English,,0.0,1.0,12.0,45.0
Run Away,SunStroke Project and Olia Tira,Moldova,2010,English,22.0,27.0,1.0,10.0,52.0
Ik ben verliefd (Sha-la-lie),Sieneke,Netherlands,2010,Dutch,,0.0,2.0,14.0,29.0
Jas ja imam silata (Јас ја имам силата),Gjoko Taneski,North Macedonia,2010,Macedonian,,0.0,1.0,15.0,37.0
My Heart Is Yours,Didrik Solli-Tangen,Norway,2010,English,20.0,35.0,,,
Legenda,Marcin Mroziński,Poland,2010,English,,0.0,1.0,13.0,44.0
Legenda,Marcin Mroziński,Poland,2010,Polish,,0.0,1.0,13.0,44.0
Há dias assim,Filipa Azevedo,Portugal,2010,Portuguese,18.0,43.0,1.0,4.0,89.0
Playing with Fire,Paula Seling and Ovi,Romania,2010,English,3.0,162.0,2.0,4.0,104.0
Lost and Forgotten,Peter Nalitch and Friends,Russia,2010,English,11.0,90.0,1.0,7.0,74.0
Ovo je Balkan (Oво je Балкан),Milan Stanković,Serbia,2010,Serbian,13.0,72.0,1.0,5.0,79.0
Horehronie,Kristina,Slovakia,2010,Slovak,,0.0,1.0,16.0,24.0
Narodnozabavni rock,Ansambel Žlindra and Kalamari,Slovenia,2010,Slovene,,0.0,2.0,16.0,6.0
Algo Pequeñito,Daniel Diges,Spain,2010,Spanish,15.0,68.0,,,
This Is My Life,Anna Bergendahl,Sweden,2010,English,,0.0,2.0,11.0,62.0
Il pleut de l'or,Michael von der Heide,Switzerland,2010,French,,0.0,2.0,17.0,2.0
We Could Be the Same,maNga,Turkey,2010,English,2.0,170.0,2.0,1.0,118.0
Sweet People,Alyosha,Ukraine,2010,English,10.0,108.0,2.0,7.0,77.0
That Sounds Good to Me,Josh Dubovie,United Kingdom,2010,English,25.0,10.0,,,
Feel the Passion,Aurela Gaçe,Albania,2011,English,,0.0,1.0,14.0,47.0
Boom Boom,Emmy,Armenia,2011,English,,0.0,1.0,12.0,54.0
The Secret Is Love,Nadine Beiler,Austria,2011,English,18.0,64.0,2.0,7.0,69.0
Running Scared,Ell & Nikki,Azerbaijan,2011,English,1.0,221.0,1.0,2.0,122.0
I Love Belarus,Anastasia Vinnikova,Belarus,2011,English,,0.0,2.0,14.0,45.0
With Love Baby,Witloof Bay,Belgium,2011,English,,0.0,2.0,11.0,53.0
Love in Rewind,Dino Merlin,Bosnia and Herzegovina,2011,English,6.0,125.0,2.0,5.0,109.0
Love in Rewind,Dino Merlin,Bosnia and Herzegovina,2011,Bosnian,6.0,125.0,2.0,5.0,109.0
Na inat (На инат),Poli Genova,Bulgaria,2011,Bulgarian,,0.0,2.0,12.0,48.0
Celebrate,Daria,Croatia,2011,English,,0.0,1.0,15.0,41.0
San aggelos s'agapisa (Σαν άγγελος σ'αγάπησα),Christos Mylordos,Cyprus,2011,Greek,,0.0,2.0,18.0,16.0
New Tomorrow,A Friend in London,Denmark,2011,English,5.0,134.0,2.0,2.0,135.0
Rockefeller Street,Getter Jaani,Estonia,2011,English,24.0,44.0,2.0,9.0,60.0
Da Da Dam,Paradise Oskar,Finland,2011,English,21.0,57.0,1.0,3.0,103.0
Sognu,Amaury Vassili,France,2011,Corsican,15.0,82.0,,,
One More Day,Eldrine,Georgia,2011,English,9.0,110.0,1.0,6.0,74.0
Taken by a Stranger,Lena,Germany,2011,English,10.0,107.0,,,
Watch My Dance,Loukas Giorkas feat. Stereo Mike,Greece,2011,English,7.0,120.0,1.0,1.0,133.0
Watch My Dance,Loukas Giorkas feat. Stereo Mike,Greece,2011,Greek,7.0,120.0,1.0,1.0,133.0
What About My Dreams?,Kati Wolf,Hungary,2011,English,22.0,53.0,1.0,7.0,72.0
What About My Dreams?,Kati Wolf,Hungary,2011,Hungarian,22.0,53.0,1.0,7.0,72.0
Coming Home,Sjonni's Friends,Iceland,2011,English,20.0,61.0,1.0,4.0,100.0
Lipstick,Jedward,Ireland,2011,English,8.0,119.0,2.0,8.0,68.0
Ding Dong,Dana International,Israel,2011,Hebrew,,0.0,2.0,15.0,38.0
Ding Dong,Dana International,Israel,2011,English,,0.0,2.0,15.0,38.0
Madness of Love,Raphael Gualazzi,Italy,2011,Italian,2.0,189.0,,,
Madness of Love,Raphael Gualazzi,Italy,2011,English,2.0,189.0,,,
Angel in Disguise,Musiqq,Latvia,2011,English,,0.0,2.0,17.0,25.0
C'est ma vie,Evelina Sašenko,Lithuania,2011,English,19.0,63.0,1.0,5.0,81.0
One Life,Glen Vella,Malta,2011,English,,0.0,1.0,11.0,54.0
So Lucky,Zdob și Zdub,Moldova,2011,English,12.0,97.0,2.0,10.0,54.0
Never Alone,3JS,Netherlands,2011,English,,0.0,2.0,19.0,13.0
Rusinka (Русинка),Vlatko Ilievski,North Macedonia,2011,Macedonian,,0.0,2.0,16.0,36.0
Rusinka (Русинка),Vlatko Ilievski,North Macedonia,2011,English,,0.0,2.0,16.0,36.0
